rank,statute,total_citations,unique_sections_count,max_document_count
171,"East Punjab Urban Rent Restriction Act, 1949",394,37,60
172,"Advocates Act, 1961",391,58,27
173,MV Act,391,79,19
174,Commercial Courts Act,390,34,14
175,"Bharatiya Nyaya Sanhita, 2023 (BNS)",383,88,4
176,"Securities and Exchange Board of India Act, 1992",380,75,13
177,Karnataka Act,380,80,14
178,"Delhi Municipal Corporation Act, 1957",379,104,11
179,Defence of India Rules,378,72,28
180,West Bengal Act,373,68,23
181,"Workmen's Compensation Act, 1923",367,63,17
182,P.C. Act,366,53,23
183,Citizenship Act,363,25,14
184,Corporation Act,362,89,8
185,"Recovery of Debts Due to Banks and Financial Institutions Act, 1993",357,67,12
186,Land Revenue Act,356,94,10
187,"Reserve Bank of India Act, 1934",356,77,13
188,"BR Act, 1949",355,19,3
189,CIRP Regulations,354,58,12
190,"Conciliation Act, 1996",354,50,42
191,SFC Act,353,30,16
192,"U.P. Zamindari Abolition and Land Reforms Act, 1950",350,85,15
193,"Railways Act, 1989",348,71,7
194,Development Act,346,56,8
195,Bombay Police Act,341,79,10
196,The Rules,338,96,12
197,E the Act,337,87,10
198,The provisions of the Act,337,91,17
199,"Bombay Rents, Hotel and Lodging House Rates Control Act, 1947",336,65,21
200,TRAI Act,335,29,10
